"hashtag_id","Title","country_info.id","country_info.value","Category","is_promoted","Publish_Count","Views","rank","rank_diff"
"5354","merrychristmas","US","United States",,false,199195,522049745,1,0
"354794","christmaseve","US","United States",,false,62384,108822168,2,8
"183762","feliznavidad","US","United States",,true,75849,139382321,3,0
"1664702245703685","christmas2023","US","United States","Home Improvement",false,84481,382335581,4,
"5048","navidad","US","United States",,false,68412,403218090,5,
"99116","happyholidays","US","United States",,true,81863,188727163,6,
"7113443843244032026","capcutholiday","US","United States",,false,53134,25740823,7,3
"5643","xmas","US","United States",,false,49312,274406535,8,
"1618065932156933","navidadentiktok","US","United States",,false,28220,110342168,9,4
"7171","newyear","US","United States",,true,51606,126021718,10,
"1703923028789253","tumi24dediciembre","US","United States",,false,9028,12076665,11,31
"214227","presents","US","United States","Apparel & Accessories",false,12144,119806973,12,
"7126870904818106373","christmas2023ğŸ„ğŸ","US","United States","Home Improvement",false,23645,48739604,13,
"9950","bang","US","United States",,false,14615,15033224,14,6
"7045180899557638170","à¸„à¸£à¸´à¸ªà¸•à¹Œà¸¡à¸²à¸ª2023","US","United States",,false,15298,4708904,15,3
"3516163","christmaseveeve","US","United States",,false,6463,9610068,16,2
"6745","happynewyear","US","United States",,false,13553,29838634,17,3
"7312932812859342881","7037349032360004870","US","United States",,false,22998,3927567,18,10
"6825","newyears","US","United States",,false,11525,59738634,19,6
"3549713","merrychristmaseve","US","United States",,false,4830,1952214,20,